# Phonon dispersion from ShengBTE
# Path: G -> K -> M -> G
# Tick positions:
#       G  d = 0.000000
#       K  d = 1.710820
#       M  d = 2.566230
#       G  d = 4.047844
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        0.507228         0.098827         0.098827         0.000000         2.223715        11.099540        16.592238        26.103895        46.328848        49.193800
        0.515825         0.100503         0.100502         0.000000         2.297623        11.277981        16.841842        26.075910        46.279011        49.183202
        0.524422         0.102178         0.102178         0.000000         2.373361        11.457102        17.091274        26.047044        46.229067        49.170472
        0.533019         0.103853         0.103853         0.000000         2.449252        11.634558        17.338088        26.017988        46.178646        49.156610
        0.541616         0.105528         0.105528         0.000000         2.527432        11.813226        17.585325        25.987817        46.128315        49.140389
        0.550214         0.107203         0.107203         0.000000         2.605960        11.990640        17.830309        25.957361        46.077570        49.122966
        0.558811         0.108878         0.108878         0.000000         2.685829        12.167995        18.074341        25.926166        46.026723        49.103772
        0.567408         0.110553         0.110553         0.000000         2.766922        12.345270        18.317351        25.894276        45.975750        49.082921
        0.576005         0.112228         0.112228         0.000000         2.848447        12.521496        18.558279        25.862039        45.924423        49.060879
        0.584602         0.113903         0.113903         0.000000         2.932027        12.698523        18.799129        25.828683        45.873310        49.036740
        0.593199         0.115578         0.115578         0.000000         3.015724        12.874328        19.037656        25.795116        45.821754        49.011667
        0.601796         0.117253         0.117253         0.000000         3.101159        13.050480        19.275574        25.760532        45.770377        48.984709
        0.610393         0.118928         0.118928         0.000000         3.187248        13.226077        19.511861        25.725459        45.718783        48.956575
        0.618990         0.120603         0.120603         0.000000         3.274199        13.401219        19.746614        25.689773        45.667079        48.927130
        0.627587         0.122278         0.122278         0.000000         3.362591        13.576486        19.980438        25.653163        45.615526        48.896077
        0.636184         0.123953         0.123953         0.000000         3.451077        13.750847        20.212213        25.616326        45.563570        48.864275
        0.644781         0.125628         0.125628         0.000000         3.541625        13.925622        20.443301        25.578180        45.512105        48.830472
        0.653379         0.127303         0.127303         0.000000         3.632311        14.099683        20.672518        25.539767        45.460287        48.795980
        0.661976         0.128978         0.128978         0.000000         3.724218        14.273548        20.900361        25.500460        45.408640        48.760053
        0.670573         0.130653         0.130653         0.000000         3.817009        14.447176        21.126783        25.460442        45.357029        48.722990
        0.679170         0.132328         0.132328         0.000000         3.910236        14.620313        21.351521        25.419957        45.305253        48.685095
        0.687767         0.134003         0.134003         0.000000         4.005035        14.793379        21.574917        25.378306        45.253909        48.645565
        0.696364         0.135678         0.135678         0.000000         4.099888        14.965986        21.796670        25.336402        45.202244        48.605569
        0.704961         0.137353         0.137353         0.000000         4.196249        15.138330        22.016826        25.293313        45.151039        48.563943
        0.713558         0.139029         0.139028         0.000000         4.292998        15.310381        22.235454        25.249741        45.099727        48.521647
        0.722155         0.140704         0.140703         0.000000         4.390512        15.482056        22.452411        25.205418        45.048527        48.478328
        0.730752         0.142379         0.142378         0.000000         4.489057        15.653420        22.667710        25.160153        44.997615        48.433792
        0.739349         0.144054         0.144054         0.000000         4.587681        15.824563        22.881555        25.114579        44.946478        48.388888
        0.747946         0.145729         0.145729         0.000000         4.687922        15.995119        23.093357        25.067597        44.896007        48.342153
        0.756544         0.147404         0.147404         0.000000         4.788175        16.165574        23.303802        25.020337        44.845313        48.295155
        0.765141         0.149079         0.149079         0.000000         4.889451        16.335478        23.512307        24.972035        44.794992        48.246839
        0.773738         0.150754         0.150754         0.000000         4.991285        16.505105        23.719177        24.923027        44.744804        48.197708
        0.782335         0.152429         0.152429         0.000000         5.093500        16.674475        23.924463        24.873428        44.694655        48.147915
        0.790932         0.154104         0.154104         0.000000         5.196817        16.843164        24.127649        24.822652        44.644999        48.096643
        0.799529         0.155779         0.155779         0.000000         5.300116        17.011915        24.329563        24.771585        44.595183        48.045167
        0.808126         0.157454         0.157454         0.000000         5.404630        17.179724        24.503902        24.744437        44.545966        47.991968
        0.816723         0.159129         0.159129         0.000000         5.509298        17.347496        24.610353        24.783297        44.496730        47.938335
        0.825320         0.160804         0.160804         0.000000         5.614581        17.514742        24.612577        24.923645        44.447764        47.883643
        0.833917         0.162479         0.162479         0.000000         5.720522        17.681438        24.557904        25.118037        44.399120        47.827807
        0.842514         0.164154         0.164154         0.000000         5.826531        17.848155        24.502818        25.311043        44.350439        47.771587
        0.851112         0.165829         0.165829         0.000000         5.933650        18.013694        24.446317        25.501659        44.302394        47.713494
        0.859709         0.167504         0.167504         0.000000         6.040703        18.179414        24.389512        25.690966        44.254257        47.655149
        0.868306         0.169179         0.169179         0.000000         6.148545        18.344200        24.331534        25.878178        44.206584        47.595271
        0.876903         0.170854         0.170854         0.000000         6.256667        18.508706        24.272883        26.063706        44.159063        47.534561
