# Phonon dispersion from ShengBTE
# Path: G -> X -> K -> G -> L
# Tick positions:
#       G  d = 0.000000
#       X  d = 1.149293
#       K  d = 2.057889
#       G  d = 3.276898
#       L  d = 4.272215
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        0.340745         0.000000         0.148241         0.148241         2.776876         2.778358         4.502479        14.678139        14.678201        15.094116
        0.346521         0.000000         0.150754         0.150754         2.812547         2.815163         4.581687        14.659515        14.659624        15.083615
        0.352296         0.000000         0.153266         0.153266         2.847925         2.851252         4.659497        14.640880        14.641019        15.073420
        0.358071         0.000000         0.155779         0.155779         2.883009         2.886626         4.735910        14.622236        14.622387        15.063531
        0.363847         0.000000         0.158291         0.158291         2.917800         2.921285         4.810927        14.603580        14.603726        15.053948
        0.369622         0.000000         0.160804         0.160804         2.952297         2.955229         4.884547        14.584915        14.585037        15.044671
        0.375397         0.000000         0.163317         0.163317         2.986501         2.988457         4.956769        14.566239        14.566321        15.035701
        0.381173         0.000000         0.165829         0.165829         3.020411         3.020971         5.027595        14.547553        14.547577        15.027037
        0.386948         0.000000         0.168342         0.168342         3.052205         3.054160         5.102106        14.529135        14.529261        15.016061
        0.392723         0.000000         0.170854         0.170854         3.082882         3.087128         5.178120        14.510881        14.511156        15.004105
        0.398499         0.000000         0.173367         0.173367         3.113371         3.119139         5.253168        14.492659        14.493032        14.992480
        0.404274         0.000000         0.175879         0.175879         3.143672         3.150192         5.327250        14.474470        14.474892        14.981186
        0.410049         0.000000         0.178392         0.178392         3.173784         3.180289         5.400365        14.456313        14.456734        14.970224
        0.415825         0.000000         0.180905         0.180905         3.203708         3.209427         5.472514        14.438188        14.438559        14.959593
        0.421600         0.000000         0.183417         0.183417         3.233443         3.237609         5.543696        14.420097        14.420366        14.949293
        0.427375         0.000000         0.185930         0.185930         3.262991         3.264833         5.613912        14.402037        14.402157        14.939325
        0.433151         0.000000         0.188442         0.188442         3.291127         3.292675         5.684532        14.384388        14.384524        14.928254
        0.438926         0.000000         0.190955         0.190955         3.317119         3.322077         5.756706        14.367431        14.367865        14.915144
        0.444701         0.000000         0.193467         0.193467         3.343041         3.350366         5.828257        14.350550        14.351192        14.902390
        0.450477         0.000000         0.195980         0.195980         3.368894         3.377544         5.899188        14.333746        14.334504        14.889991
        0.456252         0.000000         0.198492         0.198492         3.394677         3.403609         5.969497        14.317019        14.317801        14.877949
        0.462027         0.000000         0.201005         0.201005         3.420391         3.428563         6.039184        14.300368        14.301084        14.866263
        0.467803         0.000000         0.203518         0.203518         3.446034         3.452404         6.108249        14.283794        14.284352        14.854933
        0.473578         0.000000         0.206030         0.206030         3.471609         3.475133         6.176693        14.267296        14.267605        14.843960
        0.479353         0.000000         0.208543         0.208543         3.496826         3.497254         6.244561        14.250986        14.251034        14.833028
        0.485129         0.000000         0.211055         0.211055         3.518870         3.523760         6.312463        14.236004        14.236544        14.819009
        0.490904         0.000000         0.213568         0.213568         3.540958         3.549059         6.380028        14.221137        14.222032        14.805364
        0.496679         0.000000         0.216080         0.216080         3.563091         3.573149         6.447256        14.206387        14.207499        14.792095
        0.502455         0.000000         0.218593         0.218593         3.585269         3.596031         6.514146        14.191754        14.192943        14.779200
        0.508230         0.000000         0.221106         0.221106         3.607491         3.617705         6.580699        14.177237        14.178366        14.766679
        0.514005         0.000000         0.223618         0.223618         3.629758         3.638171         6.646914        14.162837        14.163766        14.754534
        0.519781         0.000000         0.226131         0.226131         3.652069         3.657429         6.712793        14.148553        14.149145        14.742762
        0.525556         0.000000         0.228643         0.228643         3.674425         3.675479         6.778334        14.134385        14.134502        14.731366
        0.531331         0.000000         0.231156         0.231156         3.694118         3.698288         6.842187        14.121442        14.122001        14.717355
        0.537107         0.000000         0.233668         0.233668         3.713220         3.721399         6.905561        14.108940        14.110035        14.702939
        0.542882         0.000000         0.236181         0.236181         3.732452         3.743235         6.968834        14.096589        14.098034        14.688906
        0.548658         0.000000         0.238693         0.238693         3.751814         3.763797         7.032008        14.084392        14.085997        14.675254
        0.554433         0.000000         0.241206         0.241206         3.771305         3.783083         7.095083        14.072346        14.073924        14.661985
        0.560208         0.000000         0.243719         0.243719         3.790927         3.801096         7.158057        14.060454        14.061816        14.649098
        0.565984         0.000000         0.246231         0.246231         3.810679         3.817833         7.220932        14.048713        14.049672        14.636593
        0.571759         0.000000         0.248744         0.248744         3.830560         3.833296         7.283707        14.037126        14.037492        14.624470
        0.577534         0.000000         0.251256         0.251256         3.848848         3.851780         7.344656        14.026267        14.026734        14.610809
        0.583310         0.000000         0.253769         0.253769         3.865572         3.873237         7.403927        14.016166        14.017387        14.595604
        0.589085         0.000000         0.256281         0.256281         3.882465         3.893359         7.463296        14.006254        14.007990        14.580774
        0.594860         0.000000         0.258794         0.258794         3.899527         3.912145         7.522762        13.996531        13.998543        14.566319
        0.600636         0.000000         0.261307         0.261307         3.916757         3.929595         7.582326        13.986998        13.989045        14.552237
        0.606411         0.000000         0.263819         0.263819         3.934156         3.945709         7.641987        13.977655        13.979496        14.538531
        0.612186         0.000000         0.266332         0.266332         3.951725         3.960487         7.701746        13.968501        13.969898        14.525199
        0.617962         0.000000         0.268844         0.268844         3.969462         3.973929         7.761602        13.959537        13.960249        14.512241
        0.623737         0.000000         0.271357         0.271357         3.986621         3.987938         7.820591        13.950894        13.951144        14.498848
        0.629512         0.000000         0.273869         0.273869         4.001106         4.007797         7.876108        13.942972        13.944244        14.482734
        0.635288         0.000000         0.276382         0.276382         4.015752         4.026254         7.931882        13.935285        13.937282        14.466965
        0.641063         0.000000         0.278894         0.278894         4.030559         4.043308         7.987914        13.927835        13.930259        14.451544
        0.646838         0.000000         0.281407         0.281407         4.045527         4.058960         8.044202        13.920621        13.923175        14.436468
        0.652614         0.000000         0.283920         0.283920         4.060655         4.073209         8.100748        13.913642        13.916029        14.421738
        0.658389         0.000000         0.286432         0.286432         4.075944         4.086055         8.157551        13.906900        13.908822        14.407355
        0.664164         0.000000         0.288945         0.288945         4.091394         4.097498         8.214611        13.900393        13.901554        14.393318
        0.669940         0.000000         0.291457         0.291457         4.107004         4.107539         8.271928        13.894123        13.894224        14.379627
        0.675715         0.000000         0.293970         0.293970         4.119256         4.124646         8.324673        13.887950        13.889208        14.362770
        0.681490         0.000000         0.296482         0.296482         4.131313         4.141053         8.377354        13.882068        13.884342        14.345883
        0.687266         0.000000         0.298995         0.298995         4.143492         4.155989         8.430416        13.876492        13.879409        14.329281
        0.693041         0.000000         0.301508         0.301508         4.155793         4.169453         8.483859        13.871221        13.874409        14.312964
        0.698816         0.000000         0.304020         0.304020         4.168218         4.181445         8.537683        13.866255        13.869343        14.296934
        0.704592         0.000000         0.306533         0.306533         4.180764         4.191966         8.591887        13.861596        13.864211        14.281189
        0.710367         0.000000         0.309045         0.309045         4.193434         4.201015         8.646472        13.857242        13.859012        14.265730
        0.716142         0.000000         0.311558         0.311558         4.206226         4.208593         8.701438        13.853194        13.853747        14.250556
        0.721918         0.000000         0.314070         0.314070         4.216603         4.220467         8.753278        13.848576        13.849769        14.233544
        0.727693         0.000000         0.316583         0.316583         4.225547         4.234282         8.803467        13.843840        13.846537        14.215441
        0.733468         0.000000         0.319095         0.319095         4.234571         4.246565         8.854127        13.839536        13.843239        14.197500
        0.739244         0.000000         0.321608         0.321608         4.243675         4.257316         8.905256        13.835664        13.839875        14.179718
        0.745019         0.000000         0.324121         0.324121         4.252860         4.266534         8.956855        13.832224        13.836445        14.162098
        0.750794         0.000000         0.326633         0.326633         4.262125         4.274220         9.008924        13.829215        13.832949        14.144638
        0.756570         0.000000         0.329146         0.329146         4.271471         4.280375         9.061464        13.826639        13.829387        14.127339
        0.762345         0.000000         0.331658         0.331658         4.280897         4.284996         9.114473        13.824494        13.825759        14.110201
        0.768121         0.000000         0.334171         0.334171         4.289035         4.291201         9.166054        13.821548        13.822606        14.092580
        0.773896         0.000000         0.336683         0.336683         4.294499         4.302073         9.214347        13.816772        13.820473        14.073627
        0.779671         0.000000         0.339196         0.339196         4.300021         4.311370         9.263169        13.812734        13.818280        14.054522
        0.785447         0.000000         0.341709         0.341709         4.305600         4.319091         9.312518        13.809433        13.816026        14.035267
        0.791222         0.000000         0.344221         0.344221         4.311236         4.325238         9.362395        13.806870        13.813711        14.015860
        0.796997         0.000000         0.346734         0.346734         4.316930         4.329809         9.412800        13.805043        13.811337        13.996303
        0.802773         0.000000         0.349246         0.349246         4.322681         4.332805         9.463733        13.803954        13.808901        13.976594
        0.808548         0.000000         0.351759         0.351759         4.328489         4.334226         9.515194        13.803602        13.806405        13.956735
        0.814323         0.000000         0.354271         0.354271         4.334192         4.334478         9.566948        13.803524        13.803892        13.936922
        0.820099         0.000000         0.356784         0.356784         4.336230         4.342512         9.613841        13.793745        13.802305        13.921268
        0.825874         0.000000         0.359296         0.359296         4.338332         4.348946         9.661292        13.785158        13.800670        13.904998
        0.831649         0.000000         0.361809         0.361809         4.340498         4.353780         9.709303        13.777762        13.798987        13.888111
        0.837425         0.000000         0.364322         0.364322         4.342728         4.357016         9.757872        13.771556        13.797255        13.870610
        0.843200         0.000000         0.366834         0.366834         4.345023         4.358651         9.807001        13.766542        13.795476        13.852492
        0.848975         0.000000         0.369347         0.369347         4.347381         4.358688         9.856688        13.762719        13.793647        13.833759
        0.854751         0.000000         0.371859         0.371859         4.349803         4.357124         9.906934        13.760087        13.791771        13.814410
        0.860526         0.000000         0.374372         0.374372         4.352289         4.353962         9.957739        13.758645        13.789846        13.794445
        0.866301         0.000000         0.376884         0.376884         4.352303         4.357138        10.004939        13.735740        13.788214        13.791257
        0.872077         0.000000         0.379397         0.379397         4.351564         4.361351        10.051318        13.706889        13.786665        13.792825
        0.877852         0.000000         0.381910         0.381910         4.350923         4.363951        10.098265        13.679705        13.785090        13.793290
        0.883627         0.000000         0.384422         0.384422         4.350379         4.364938        10.145781        13.654188        13.783488        13.792652
        0.889403         0.000000         0.386935         0.386935         4.349933         4.364314        10.193865        13.630337        13.781860        13.790912
        0.895178         0.000000         0.389447         0.389447         4.349584         4.362078        10.242518        13.608154        13.780205        13.788069
        0.900953         0.000000         0.391960         0.391960         4.349333         4.358229        10.291739        13.587637        13.778523        13.784123
        0.906729         0.000000         0.394472         0.394472         4.349180         4.352768        10.341528        13.568786        13.776815        13.779074
        0.912504         0.000000         0.396985         0.396985         4.347883         4.351060        10.389350        13.545155        13.775069        13.775965
        0.918279         0.000000         0.399497         0.399497         4.345252         4.354069        10.434739        13.515119        13.773309        13.775793
        0.924055         0.000000         0.402010         0.402010         4.342765         4.355452        10.480690        13.486132        13.771556        13.775131
        0.929830         0.000000         0.404523         0.404523         4.340422         4.355210        10.527206        13.458194        13.769809        13.773976
        0.935605         0.000000         0.407035         0.407035         4.338223         4.353343        10.574284        13.431305        13.768070        13.772330
        0.941381         0.000000         0.409548         0.409548         4.336167         4.349849        10.621926        13.405464        13.766337        13.770192
        0.947156         0.000000         0.412060         0.412060         4.334256         4.344731        10.670132        13.380672        13.764611        13.767563
        0.952931         0.000000         0.414573         0.414573         4.332488         4.337986        10.718901        13.356929        13.762892        13.764442
        0.958707         0.000000         0.417085         0.417085         4.330530         4.331773        10.767295        13.332460        13.761122        13.761339
        0.964482         0.000000         0.419598         0.419598         4.327074         4.334704        10.811557        13.300033        13.759096        13.760428
        0.970257         0.000000         0.422111         0.422111         4.323804         4.335985        10.856370        13.268433        13.757120        13.759248
        0.976033         0.000000         0.424623         0.424623         4.320720         4.335616        10.901735        13.237659        13.755197        13.757798
        0.981808         0.000000         0.427136         0.427136         4.317822         4.333599        10.947650        13.207712        13.753324        13.756079
        0.987584         0.000000         0.429648         0.429648         4.315111         4.329931        10.994116        13.178591        13.751503        13.754091
        0.993359         0.000000         0.432161         0.432161         4.312587         4.324615        11.041133        13.150296        13.749732        13.751833
        0.999134         0.000000         0.434673         0.434673         4.310248         4.317649        11.088702        13.122827        13.748014        13.749306
        1.004910         0.000000         0.437186         0.437186         4.308096         4.309033        11.136821        13.096185        13.746346        13.746510
        1.010685         0.000000         0.439698         0.439698         4.304914         4.311076        11.180366        13.062177        13.744308        13.745092
        1.016460         0.000000         0.442211         0.442211         4.301771         4.313194        11.223719        13.027709        13.742306        13.743760
        1.022236         0.000000         0.444724         0.444724         4.298841         4.313627        11.267611        12.993943        13.740405        13.742286
        1.028011         0.000000         0.447236         0.447236         4.296126         4.312375        11.312043        12.960881        13.738603        13.740671
        1.033786         0.000000         0.449749         0.449749         4.293625         4.309439        11.357013        12.928521        13.736902        13.738915
        1.039562         0.000000         0.452261         0.452261         4.291338         4.304818        11.402522        12.896864        13.735301        13.737017
        1.045337         0.000000         0.454774         0.454774         4.289265         4.298512        11.448571        12.865909        13.733801        13.734977
        1.051112         0.000000         0.457286         0.457286         4.287406         4.290521        11.495158        12.835658        13.732400        13.732797
        1.056888         0.000000         0.459799         0.459799         4.285186         4.289566        11.538663        12.801157        13.730798        13.731253
        1.062663         0.000000         0.462312         0.462312         4.282779         4.293125        11.580117        12.763759        13.729115        13.730190
        1.068438         0.000000         0.464824         0.464824         4.280598         4.294962        11.622105        12.726984        13.727574        13.729067
        1.074214         0.000000         0.467337         0.467337         4.278643         4.295077        11.664629        12.690832        13.726176        13.727884
        1.079989         0.000000         0.469849         0.469849         4.276914         4.293470        11.707687        12.655301        13.724922        13.726642
        1.085764         0.000000         0.472362         0.472362         4.275411         4.290141        11.751281        12.620394        13.723810        13.725340
        1.091540         0.000000         0.474874         0.474874         4.274134         4.285089        11.795410        12.586109        13.722841        13.723979
        1.097315         0.000000         0.477387         0.477387         4.273084         4.278316        11.840073        12.552447        13.722015        13.722558
        1.103090         0.000000         0.479899         0.479899         4.272035         4.274339        11.883326        12.517136        13.721187        13.721403
        1.108866         0.000000         0.482412         0.482412         4.270670         4.279599        11.922394        12.476895        13.720167        13.721006
        1.114641         0.000000         0.484925         0.484925         4.269533         4.283113        11.962009        12.437224        13.719315        13.720591
        1.120416         0.000000         0.487437         0.487437         4.268626         4.284880        12.002170        12.398123        13.718631        13.720158
        1.126192         0.000000         0.489950         0.489950         4.267947         4.284901        12.042876        12.359592        13.718116        13.719708
        1.131967         0.000000         0.492462         0.492462         4.267498         4.283176        12.084129        12.321631        13.717768        13.719241
        1.137742         0.000000         0.494975         0.494975         4.267277         4.279704        12.125928        12.284239        13.717588        13.718755
        1.143518         0.000000         0.497487         0.497487         4.267285         4.274486        12.168273        12.247417        13.717576        13.718253
        1.149293         0.000000         0.500000         0.500000         4.267522         4.267522        12.211164        12.211164        13.717732        13.717732
        1.153859        -0.001884         0.499372         0.497487         4.267609         4.274669        12.172509        12.242912        13.717526        13.718189
        1.158425        -0.003769         0.498744         0.494975         4.268483         4.280526        12.142440        12.266651        13.717379        13.718511
        1.162991        -0.005653         0.498116         0.492462         4.270008         4.285226        12.120310        12.283028        13.717280        13.718710
        1.167556        -0.007538         0.497487         0.489950         4.272051         4.288900        12.105471        12.292687        13.717218        13.718801
        1.172122        -0.009422         0.496859         0.487437         4.274475         4.291683        12.097277        12.296276        13.717180        13.718797
        1.176688        -0.011307         0.496231         0.484925         4.277147         4.293708        12.095080        12.294440        13.717155        13.718711
        1.181254        -0.013191         0.495603         0.482412         4.279932         4.295108        12.098233        12.287825        13.717131        13.718556
        1.185820        -0.015075         0.494975         0.479899         4.282694         4.296015        12.106088        12.277077        13.717096        13.718347
        1.190385        -0.016960         0.494347         0.477387         4.284631         4.302403        12.098963        12.276794        13.716808        13.718599
        1.194951        -0.018844         0.493719         0.474874         4.286451         4.310556        12.084779        12.282056        13.716412        13.718985
        1.199517        -0.020729         0.493090         0.472362         4.288549         4.317952        12.070862        12.287629        13.716012        13.719293
        1.204083        -0.022613         0.492462         0.469849         4.290936         4.329770        12.044610        12.301082        13.715493        13.719871
        1.208649        -0.024497         0.491834         0.467337         4.294619         4.340137        12.023144        12.310045        13.715079        13.720257
